project_id,mp_id,mp_name,state,constituency,mp_type,parliamentary_term,district,block,village,sector,sub_sector,project_name,recommended_amount,sanctioned_amount,funds_released,expenditure,unspent_balance,start_date,expected_completion_date,reported_progress_pct,work_status,data_type,risk_score,risk_level,cost_anomaly_score,progress_anomaly_score,delay_risk_score,duplicate_similarity_score,risk_reasons,risk_last_updated
P00001,MP008,Suresh Joshi,Odisha,Cuttack,Lok Sabha,18,District A,Block 1,Village Alpha,Community Assets,Community Halls,Community Halls Improvement at Village Alpha,1230000,1249000,1023000,261000,762000,2023-10-16,2024-09-20,54.4,Stalled,SYNTHETIC_DEMO,31.0,LOW,46.608,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00002,MP015,Deepak Nair,Gujarat,Vadodara,Lok Sabha,18,District B,Block 2,Village Beta,Water Supply,Water Tanks,Water Tanks Improvement at Village Beta,1718000,1797000,1662000,858000,804000,2026-01-15,2027-10-25,62.9,Ongoing,SYNTHETIC_DEMO,65.0,MEDIUM,89.389,0.0,0.0,97.2,Cost unusually high relative to peer projects | Potential duplicate/near-duplicate project detected,2026-09-01
P00003,MP022,Vikram Singh,Karnataka,Bengaluru North,Lok Sabha,18,District A,Block 1,Village Alpha,Roads,Drainage Roads,Drainage Roads Improvement at Village Alpha,290000,290000,178000,66000,112000,2022-06-01,2022-12-03,66.9,Stalled,SYNTHETIC_DEMO,25.8,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00004,MP029,Manoj Mehta,Bihar,Gaya,Lok Sabha,18,District A,Block 1,Village Alpha,Water Supply,Water Tanks,Water Tanks Improvement at Village Alpha,250000,247000,202000,157000,45000,2025-05-24,2026-03-13,72.6,Stalled,SYNTHETIC_DEMO,15.6,LOW,0.0,6.147,47.123,0.0,Project duration/status indicates delay risk,2026-09-01
P00005,MP036,Neha Sharma,Uttar Pradesh,Prayagraj,Rajya Sabha,18,District D,Block 4,Village Delta,Community Assets,Market Sheds,Market Sheds Improvement at Village Delta,603000,608000,455000,184000,271000,2024-10-06,2026-08-30,67.5,Ongoing,SYNTHETIC_DEMO,0.9,LOW,0.0,0.0,0.548,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00006,MP043,Pooja Joshi,Rajasthan,Jaipur Rural,Lok Sabha,18,District C,Block 3,Village Gamma,Education,School Buildings,School Buildings Improvement at Village Gamma,888000,893000,616000,427000,189000,2026-02-28,2027-08-04,73.3,Ongoing,SYNTHETIC_DEMO,0.0,LOW,10.449,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00007,MP050,Ravi Nair,Telangana,Warangal,Lok Sabha,18,District C,Block 3,Village Gamma,Education,Libraries,Libraries Improvement at Village Gamma,1440000,1341000,856000,656000,200000,2023-06-15,2024-08-22,81.4,Stalled,SYNTHETIC_DEMO,49.0,MEDIUM,63.32,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00008,MP057,Nitin Singh,Tamil Nadu,Salem,Lok Sabha,18,District G,Block 7,Village Eta,Roads,Village Roads,Village Roads Improvement at Village Eta,318000,663000,447000,123000,324000,2022-10-16,2024-01-16,39.7,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00009,MP004,Anita Mehta,West Bengal,Kolkata North,Lok Sabha,18,District E,Block 5,Village Epsilon,Electricity,Power Infrastructure,Power Infrastructure Improvement at Village Epsilon,574000,528000,484000,197000,287000,2022-06-28,2024-01-09,55.0,Stalled,SYNTHETIC_DEMO,18.7,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00010,MP011,Meena Sharma,Maharashtra,Nagpur Rural,Rajya Sabha,18,District G,Block 7,Village Eta,Sanitation,Public Toilets,Public Toilets Improvement at Village Eta,1455000,1361000,1277000,340000,937000,2022-09-09,2024-06-25,20.0,Stalled,SYNTHETIC_DEMO,31.5,LOW,38.555,7.95,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
